"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";
"328-1";"ATMEGA328P-AU";"ATMEGA48/88/168-AU";"TQFP32-08";"";"";"";"";"";"";"";"";"";
"ACC1";"";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"ACC2";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"C1";"18pF";"0612ZC225MAT2A";"CAPC3216X178N";"Capacitor 1206";"";"0612ZC225MAT2A";"-";"12N3209";"AVX";"±20%";"2.2µF";"10V";
"C2";"18pF";"0612ZC225MAT2A";"CAPC3216X178N";"Capacitor 1206";"";"0612ZC225MAT2A";"-";"12N3209";"AVX";"±20%";"2.2µF";"10V";
"C3";"10uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C4";"1uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C5";"100nF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C6";"100nF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C7";"100nF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C8";"100nF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"C9";"100nF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";
"CRYSTAL1";"16Mhz";"CSM-7X-DU";"CSM-7X-DU";"SMD CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";
"DIRECTIONS";"DIRECTIONS";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"GND1";"GND1";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"GND2";"GND2";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"GND3";"";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"GND4";"";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"LED_GREEN";"";"LED1206";"1206";"";"";"";"";"";"";"";"";"";
"LIMIT-X";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"LIMIT-Y";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"LIMIT-Z";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"POWER";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"R1";"10k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";
"R2";"499";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";
"R3";"4.7K";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";
"R4";"4.7K";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";
"R5";"4.7K";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";
"RESETS";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"SERIAL";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"SPINDLE";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
"SV1";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";
"X6";"PULSES";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"X8";"EN";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"X9";"5V2";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
"X10";"5V1";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"237-103";"unknown";"18M7116";"";"";"";"";
